DKHO,Kociemba,Shuffle Length
4.728605032,0.001003981,22
4.809244633,0.001505852,26
4.12530303,0.000998259,16
3.680090189,0,12
4.793733597,0.006508827,20
3.294906616,0,3
3.705236673,0,13
5.029034138,0.005010605,20
5.109222174,0.000500202,19
3.644182682,0,9
4.413789511,0.000499725,15
4.189043999,0,16
3.909484386,0,10
4.709026814,0.003504992,23
5.002300739,0.003006935,24
3.551648617,0,6
3.521083117,0,5
4.166128874,0.000999928,15
4.69755435,0.009520054,23
4.064670324,0.000501156,10
3.530262709,0,6
3.200557709,0,0
3.144423962,0,0
4.835513353,0.006013393,25
3.171889544,0,0
3.148298025,0,3
3.20574975,0,1
4.653216839,0.004508257,25
4.754940987,0.013023376,15
3.26428175,0,3
3.612682819,0.000499249,10
5.14847827,0.009521008,18
3.251197815,0,7
3.579946518,0,11
4.790283203,0.007513285,23
3.214759588,0,0
4.52554369,0.001504421,19
4.04243207,0,16
3.68282342,0,13
4.634038687,0.004010677,21
3.346568346,0,13
3.20836091,0,5
3.496877909,0,4
3.276595116,0,10
3.152296543,0,1
3.982186079,0,13
4.272180557,0.006013632,21
3.179583311,0,3
3.566766024,0.000499249,13
4.296795368,0.000499725,21
3.234611273,0,6
4.744064093,0.003008842,22
3.292912245,0,12
5.580511332,0.005003691,23
3.187548161,0,4
3.608542442,0,13
4.349585772,0.004010439,26
16.40901947,0,11
3.128456831,0,5
3.452042341,0,10
3.674618244,0.000500917,7
3.212486267,0,0
4.731899977,0.013015747,26
4.535475254,0.01051569,18
3.449394226,0,2
3.333581686,0,2
3.364061832,0,8
3.182227612,0.000499725,7
3.469656944,0,8
3.210473061,0,3
3.426301956,0,22
3.187031746,0,1
5.163598537,0.011525869,23
4.034338236,0,16
3.226596832,0.001003265,7
3.369507074,0,6
3.277942657,0,7
3.77131772,0.000505447,11
5.147760153,0.020531893,17
3.208304405,0,5
10.51726532,0.000500917,20
3.444957733,0,1
3.822229147,0,14
4.831213236,0.00351119,24
4.541604996,0,21
4.561992407,0,17
3.166074991,0,0
3.207832575,0,7
4.667973757,0.003998995,20
4.884572506,0.007517099,25
3.133145809,0,0
5.191733122,0.008517742,17
3.120007992,0,3
3.605771303,0.002499342,7
4.716525555,0.011524916,16
4.586589336,0.000499725,23
4.771191835,0.006525517,23
5.538655758,0.009024858,26
3.327005863,0,13
3.273128033,0,13
3.862007856,0.000500679,12
3.271004438,0,9
3.508505821,0,13
3.179173946,0,1
3.347170591,0,9
3.171451569,0,3
4.289489985,0.00249958,21
3.423074245,0,0
4.374342442,0.006512642,26
4.986521006,0.008009911,22
3.507736921,0,8
3.224515915,0,0
3.632406473,0,18
3.429641247,0,12
